Malignant,Stroma,Immune
NAPSA,COL3A1,CD22
LMO7,ADGRL4,CLEC4C
AGER,COL6A3,AIM2
LAMA3,COL1A1,AREG
GPRC5A,EMCN,BIRC5
SFTPB,CCDC80,BLK
CLDN1,ASPN,CPNE5
SFTPA1,COL1A2,CD244
