Malignant,Stroma,Immune
SLC34A2,COL1A2,B2M
SLPI,COL6A3,CD74
LAMA3,FSTL1,BID
LMO7,C1R,AIF1
LPCAT1,HLA-E,ANXA1
CLDN1,GNG11,C1QA
GPRC5A,DCN,C1QB
SFTPA1,CCDC80,AXL
NAPSA,COL3A1,CD79B
ABCA3,COLEC12,BASP1
