Malignant,Stroma,Immune,Sample_ID,Sample,condition
6.6445351222998355,53.45459575350991,39.90086912419025,GSM5016025,GSM5016025,risk category: High
4.777545677098593,69.24014858644384,25.982305736457562,GSM5016026,GSM5016026,risk category: High
8.568483207066084,39.1934755822323,52.238041210701624,GSM5016027,GSM5016027,risk category: High
9.538111419879707,49.19380433015705,41.26808424996324,GSM5016028,GSM5016028,risk category: High
13.829163803904136,44.19734874509962,41.973487450996245,GSM5016029,GSM5016029,risk category: Average
13.307513396653652,37.62128710335146,49.07119949999489,GSM5016030,GSM5016030,risk category: High
7.773589752456417,56.270593640239284,35.955816607304286,GSM5016031,GSM5016031,risk category: High
3.6776345379884,61.22011483846095,35.10225062355066,GSM5016032,GSM5016032,risk category: High
1.1890364274878955,68.952060345365,29.85890322714711,GSM5016033,GSM5016033,risk category: High
0.9750115657855506,82.37025723574556,16.65473119846889,GSM5016034,GSM5016034,risk category: Average
0.841313836697667,61.16738577053843,37.9913003927639,GSM5016035,GSM5016035,risk category: High
22.695520121488226,27.545558086560362,49.758921791951416,GSM5016036,GSM5016036,risk category: Average
1.3309427247518313,70.36744316282935,28.30161411241882,GSM5016037,GSM5016037,risk category: Average
6.115217171205832,60.28146198238332,33.60332084641086,GSM5016038,GSM5016038,risk category: Average
1.1358364893963213,70.3325463370052,28.531617173598466,GSM5016039,GSM5016039,risk category: Average
1.8470257166810697,77.61299113748275,20.53998314583618,GSM5016040,GSM5016040,risk category: Average
2.8486054165959067,55.051877370468304,42.09951721293579,GSM5016041,GSM5016041,risk category: Average
7.435706392107247,65.71074252053944,26.8535510873533,GSM5016042,GSM5016042,risk category: High
0.9046834291809979,63.352457278838074,35.74285929198094,GSM5016043,GSM5016043,risk category: Average
5.027944283709218,61.55849551827397,33.4135601980168,GSM5016044,GSM5016044,risk category: High
7.043488426467148,70.33551554828149,22.62099602525135,GSM5016045,GSM5016045,risk category: Average
5.3764979037600265,55.0656381702741,39.55786392596586,GSM5016046,GSM5016046,risk category: High
1.117244752439335,77.9749458001654,20.907809447395262,GSM5016047,GSM5016047,risk category: Average
1.5623393976770479,73.6258151460125,24.811845456310465,GSM5016048,GSM5016048,risk category: Average
4.501232104639363,71.80441511268002,23.694352782680628,GSM5016049,GSM5016049,risk category: Average
6.5075346411570285,62.909705588065854,30.58275977077712,GSM5016050,GSM5016050,risk category: Average
2.9760948863245305,64.28227305054027,32.7416320631352,GSM5016051,GSM5016051,risk category: Average
5.978773101667829,57.460733750534175,36.560493147798,GSM5016052,GSM5016052,risk category: Average
3.2034862446359074,67.92355543727754,28.87295831808656,GSM5016053,GSM5016053,risk category: High
0.6214492845234219,52.85993094130009,46.51861977417647,GSM5016054,GSM5016054,risk category: Average
12.303364649333624,55.44297574830674,32.25365960235963,GSM5016055,GSM5016055,risk category: Average
0.7277145639415022,67.37500767631397,31.897277759744536,GSM5016056,GSM5016056,risk category: Average
3.4229396379709196,70.54439506800962,26.032665294019452,GSM5016057,GSM5016057,risk category: High
