Unnamed: 0,BTN1A1,OLAH,LILRB5,CSF1R,CEL,CELP,LALBA,CSN2,LINC02532,LPO,MED15P9,YIF1B,LOC112268261,SMIM33,LOC105375790,IL16,LOC107985488,LOC105378863,LOC105371982,LOC105370705,DDX55,KLRF2,SLC2A10,SIGLEC14,BCDIN3D,SNRPN,CDRT15P3,GLS,HSF2,OR52E5,LOC105377350,LOC105375248,LOC105375924,TTTY7,TTC41P,LINC02914,GIPC3,PTPN22,CPS1,FYTTD1,ASPG,MIR6729,NPY5R,LINCADL,HNRNPUL1,P2RY10,LOC102724851,LRBA,RGS3,TWIST2,EDNRB-AS1,PYY,SYT15B,C2orf15,KPNA3,CST6,TLE1,MIR4426,IL12RB2,ZNF554,SV2B,LOC105369961,TMEM100,PTPN21,SOHLH2,ANO6,LOC107986384,TRQ-TTG4-1,TAT,LOC105371606,LOC105378231,REELD1,ALOX12B,LOC107987361,MED16,SLC41A3-AS1,LOC105371860,LRRFIP2,LOC105376246,MC5R,MIR521-1,LOC105376364,LOC100996664,PRRC2C,LRCOL1,LOC105378816,NCR3,CTSV,LOC107985188,LOC105369682,ZNHIT1,RAB19,LOC107986837,MIR888,MIR3907,LOC107984023,CD81-AS1,ANO9,LOC105369448,NHLRC1,LHCGR,LOC105377073,ZSCAN12,MIR545,TMCC2,FAM87A,CYP4F11,KCND1,LOC105375251,LOC112268209
GSM5016146,9,4,563,578,22,9,3,3,1,1,2,172,1,0,3,624,0,7,2,0,876,0,331,15,112,269,0,4099,477,0,0,4,5,0,34,0,310,101,477,2347,49,0,413,639,3212,17,326,1205,925,386,13,1,277,50,1520,2,1223,563,39,252,402,10,1488,1773,8,10633,1,0,38,0,3,46,3,76,91,6,12,1138,0,3,0,0,17,4593,5,5,1,57,37,0,392,7,8,0,1,8,133,131,0,64,209,0,564,2,29,8,10,58,0,0
GSM5016147,5,1,745,743,36,10,4,3,0,1,1,247,3,0,0,1240,0,8,1,0,730,0,462,24,130,371,2,3637,485,0,0,3,2,0,38,0,416,204,411,2670,137,0,791,982,4163,2,182,1314,1987,1216,8,1,311,57,1454,0,1323,889,53,265,539,9,1433,1874,2,13180,3,0,5,0,115,44,0,42,234,2,4,1108,0,1,0,0,24,4103,4,4,3,4,15,0,711,0,1,0,1,9,323,21,0,66,143,8,441,0,25,14,1,115,0,0
GSM5016148,7,1,952,1334,83,27,3,2,0,0,4,231,5,0,0,863,0,4,1,0,807,0,505,45,105,329,3,2395,400,0,0,2,0,0,25,0,113,45,251,1705,67,0,141,967,3534,4,133,855,1095,409,1,1,318,51,905,2,808,1194,47,234,290,7,595,1123,5,8785,4,0,4,0,8,264,1,37,287,7,10,1001,0,0,0,0,19,3729,9,1,4,23,8,0,571,5,3,0,0,11,199,143,0,49,59,1,274,0,41,3,53,164,0,0
GSM5016149,20,9,490,996,23,7,96,14,0,3,3,212,6,0,1,580,0,3,0,2,608,0,307,26,124,340,1,3064,366,0,0,4,1,0,22,0,209,113,252,1696,18,0,395,724,3041,31,130,1289,1505,209,4,4,231,43,1025,4,1089,1109,28,197,209,5,778,1228,23,5737,3,0,67,1,8,19,2,34,175,10,7,926,0,0,0,0,26,3449,6,6,7,56,7,0,552,11,1,0,0,6,145,222,0,60,312,4,405,0,33,6,11,76,0,0
GSM5016150,10,9,1811,1532,47,15,62,11,2,0,16,201,3,2,0,631,0,14,0,3,1497,2,727,31,183,336,9,4686,536,0,0,22,2,0,45,0,114,155,213,1714,13,0,293,268,3114,29,1079,2287,328,125,16,2,354,119,1031,1,759,789,64,345,173,15,454,1531,8,4090,4,0,3575,0,8,26,5,30,176,17,18,1239,0,1,0,0,36,6204,6,14,8,55,20,0,359,35,4,0,0,16,50,373,0,52,455,1,622,0,30,5,166,114,0,0
GSM5016151,18,7,565,1014,66,16,35,2,1,9,13,186,3,0,1,753,0,4,0,3,997,2,878,52,142,378,6,3960,440,0,0,1,2,0,40,0,195,101,618,1682,31,1,223,305,4228,16,632,1982,1192,168,18,6,547,91,826,1,937,900,42,366,190,6,593,1398,13,6283,2,0,4317,0,40,74,6,46,327,26,8,1238,0,0,0,0,19,5312,15,17,3,22,23,0,385,19,9,0,3,11,151,460,0,41,70,2,584,0,49,9,167,169,0,2
GSM5016152,21,3,1708,1642,33,8,48,6,3,1,1,290,7,0,5,1318,0,7,1,1,770,0,493,61,111,336,3,3222,426,0,0,0,2,0,28,0,349,127,443,2302,41,0,571,1177,4316,34,80,1513,2890,652,7,2,343,60,1370,1,1304,944,59,198,483,5,1014,1885,5,12594,0,0,306,0,4,36,1,48,269,3,5,1165,0,3,0,0,24,4574,11,3,8,19,12,0,600,3,2,0,1,11,369,87,0,68,84,9,370,0,49,6,12,66,0,2
GSM5016153,7,12,1699,1898,54,13,2,0,0,0,8,359,9,0,0,796,0,8,1,3,724,2,493,2,160,410,15,3686,449,0,0,8,1,0,25,0,317,121,227,1969,77,0,600,745,3713,34,303,1140,681,573,4,1,317,73,1234,4,1246,1137,51,373,235,2,627,1481,5,5899,1,0,324,0,261,86,2,29,482,9,2,1536,0,3,0,0,18,3829,19,6,15,56,15,1,1019,11,3,0,2,10,215,338,0,81,515,15,377,0,49,10,55,115,0,1
GSM5016154,5,9,1058,1504,19,4,2,1,0,2,2,228,10,0,0,986,0,7,1,0,668,0,848,50,195,519,4,2691,573,0,0,3,8,0,24,0,295,109,300,2872,3,0,670,761,5291,37,242,1883,2454,662,11,2,231,91,1714,1,1462,1796,68,249,374,2,1266,1999,8,12822,6,0,4800,0,0,23,2,34,206,12,4,1490,0,0,0,1,23,4294,5,6,1,16,10,0,813,14,3,0,1,5,187,160,0,91,110,5,588,0,43,7,77,79,0,0
GSM5016155,36936,8243,1321,2796,38694,10313,705002,946670,676,1035,8,331,8,1,6,861,0,12,1,2,1395,1,844,65,169,374,21,5678,624,0,0,6,3,0,37,0,184,281,342,2283,35,0,425,225,4432,62,554,2335,628,215,13,3,460,123,1161,9,1522,883,86,686,267,19,367,1747,16,5554,3,0,51,0,93,90,3,79,394,33,6,1553,1,0,0,2,41,6965,21,21,6,83,32,1,601,43,1,0,2,13,158,655,0,69,327,6,774,0,46,38,86,227,0,0
